name,description,begin_time,end_time,begin_badge,end_badge,image_path,type,tokens,counts_for_day
Talk Adelino Correia,Participa na talk 'A Firewall morreu!',2024-02-08T14:00:00Z,2024-02-08T15:00:00Z,2024-02-08T14:00:00Z,2024-02-08T16:00:00Z,data/badges/images/talk_firewall.svg,6,25,1
Talk Aleksey Kladov,Participa na talk 'Modern Systems Programming: Rust and Zig',2024-02-08T15:00:00Z,2024-02-08T16:00:00Z,2024-02-08T15:00:00Z,2024-02-08T17:00:00Z,data/badges/images/talk_rust_zig.svg,6,25,1
Talk Critical TechWorks,Participa na talk 'Desenvolvimento de Software e Engenharia de Dados no grupo BMW - Integração e Criação de valor',2024-02-09T11:30:00Z,2024-02-09T12:30:00Z,2024-02-09T11:30:00Z,2024-02-09T13:30:00Z,data/badges/images/talk_critical.svg,6,25,1
Talk AgentifAI,Participa na talk '',2024-02-09T14:00:00Z,2024-02-09T15:00:00Z,2024-02-09T14:00:00Z,2024-02-09T16:00:00Z,data/badges/images/talk_agentifai.svg,6,25,1
Talk Vânia Gonçalves,Participa na talk 'Securing the Internet in the Quantum Age',2024-02-09T14:00:00Z,2024-02-09T15:00:00Z,2024-02-09T14:00:00Z,2024-02-09T16:00:00Z,talk_quantum.svg,6,25,1
Inquisitor 1,Faz uma pergunta numa talk ou num pitch,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,data/badges/images/inquisitor1.svg,2,10,1
Inquisitor 2,Faz uma pergunta numa talk ou num pitch,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,data/badges/images/inquisitor2.svg,2,10,1
Inquisitor 3,Faz uma pergunta numa talk ou num pitch,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,data/badges/images/inquisitor3.svg,2,10,1
Inquisitor 4,Faz uma pergunta numa talk ou num pitch,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,data/badges/images/inquisitor4.svg,2,10,1
Inquisitor 5,Faz uma pergunta numa talk ou num pitch,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,2024-02-06T12:00:00Z,2024-02-09T17:00:00Z,data/badges/images/inquisitor5.svg,2,10,1
Speaker - Marcelo Pereira,Fala com o orador no final da talk,2024-02-06T12:30:00Z,2024-02-06T14:00:00Z,2024-02-06T12:30:00Z,2024-02-06T14:00:00Z,data/badges/images/speaker_marcelo_pereira.svg,5,5,1
